location,item,UPC,Quantity
UC,100-S6BBR-T6413M-SKYLT-L,198895176709,49
UC,100-S6BBR-T6413M-SKYLT-M,198895176693,51
UC,100-S6BBR-T6413M-SKYLT-S,198895176686,27
UC,100-S6BBR-T6413M-SKYLT-XL,198895176716,29
UC,100-S6BBR-T6413M-SKYLT-XS,198895176679,12
UC,100-S6BBR-T6524M-BONE-XXS,198895433376,3
UC,100-S6BDE-P4679M-CLIND-XS,198895178116,2
UC,100-S6BDE-P4887M-CLIND-1X,198895178611,1
UC,100-S6BDE-P4887M-DPIND-XS,198895178659,1
UC,100-S6BDE-P4888M-CLIND-XXS,198895178826,1
UC,100-S6BDE-P4888P-CLIND-PL,198895266547,1
UC,100-S6BDE-P4888P-CLIND-PM,198895266530,3
UC,100-S6BDE-P4888P-CLIND-PS,198895266523,3
UC,100-S6BDE-P4901M-BLACK-XS,198895178925,1
UC,100-S6BDE-P4901M-BLACK-XXS,198895178918,1
UC,100-S6BDE-P4901P-CLIND-PM,198895281168,3
UC,100-S6BDE-P4901P-CLIND-PP,198895281144,4
UC,100-S6BDE-P4901P-CLIND-PS,198895281151,2
UC,100-S6BDE-P4901P-MDNGO-PP,198895259433,1
UC,100-S6BIU-W5905M-BLACK-3X,198895179366,1
UC,100-S6BMG-J5835M-INK-XXS,198895180768,2
UC,100-S6BVR-K5239M-INK-XXS,198895181123,2
UC,100-S6BVR-W6220M-SKYLT-3X,198895181567,1
UC,100-S6CIZ-D5345M-INK-XS,198895181819,5
UC,100-S6CIZ-U4406M-BLACK-XS,198895250218,1
UC,100-S6CXU-T6318M-CDMOM-XL,198895182663,3
UC,100-S6CXU-T6412M-EUCLY-XL,198895182847,1
UC,100-S6DEE-J5558M-INK-L,198895183011,1
UC,100-S6DEE-J5558P-INK-PP,198895281267,1
UC,100-S6DEE-P4366M-DOVE-1X,198895250539,1
UC,100-S6DEE-P4366M-DOVE-M,198895250508,1
UC,100-S6DEE-P4366M-INK-M,198895183271,1
UC,100-S6DEE-P4689P-SESLT-PS,198895433642,2
UC,100-S6DEE-T5705M-DOVE-XS,198895308315,1
UC,100-S6FEI-K5463M-DKPRL-XS,198895184438,1
UC,100-S6FEP-W6260M-DKPRL-XXS,198895184513,1
UC,100-S6FTE-T6468M-INK-XL,198895185015,1
UC,100-S6FWA-K5474M-UNNAT-1X,198895327347,19
UC,100-S6FWA-K5474M-UNNAT-2X,198895327354,10
UC,100-S6FWA-K5474M-UNNAT-3X,198895327361,12
UC,100-S6FWA-K5474M-UNNAT-L,198895327323,33
UC,100-S6FWA-K5474M-UNNAT-M,198895327316,43
UC,100-S6FWA-K5474M-UNNAT-S,198895327309,18
UC,100-S6FWA-K5474M-UNNAT-XL,198895327330,26
UC,100-S6FWA-K5474M-UNNAT-XS,198895327293,13
UC,100-S6FWA-W6277M-BLACK-L,198895327866,48
UC,100-S6FWA-W6277M-BLACK-M,198895327859,57
UC,100-S6FWA-W6277M-BLACK-S,198895327842,38
UC,100-S6FWA-W6277M-BLACK-XL,198895327873,27
UC,100-S6FWA-W6277M-BLACK-XS,198895327835,24
UC,100-S6FWH-T5684M-KELP-S,198895332433,6
UC,100-S6FWH-T5684M-KELP-XXS,198895332419,1
UC,100-S6FZS-W6269M-HAZE-L,198895185909,29
UC,100-S6FZS-W6269M-HAZE-M,198895185893,54
UC,100-S6FZS-W6269M-HAZE-S,198895185886,38
UC,100-S6FZS-W6269M-INK-M,198895185985,20
UC,100-S6FZS-W6269M-INK-S,198895185978,25
UC,100-S6FZS-W6269M-INK-XS,198895185961,13
